tweet_id,fav_count,retweet_count
667911425562669056,510,316
667915453470232577,217,58
667924896115245057,308,116
667937095915278337,1311,830
668113020489474048,685,252
668142349051129856,579,299
668154635664932864,511,329
668171859951755264,506,202
668190681446379520,670,203
668204964695683073,568,201
668221241640230912,526,209
668226093875376128,313,110
668237644992782336,6416,2981
668248472370458624,1022,509
668256321989451776,1346,649
668268907921326080,572,246
668274247790391296,850,239
668286279830867968,522,143
668291999406125056,257,34
668297328638447616,639,313
668466899341221888,917,542
668480044826800133,479,154
668484198282485761,441,248
668496999348633600,422,138
668507509523615744,334,113
668528771708952576,480,236
668537837512433665,257,78
668542336805281792,478,225
668544745690562560,538,239
668567822092664832,254,61
668587383441514497,1720,1139
668614819948453888,629,331
668620235289837568,213,45
668623201287675904,1500,819
668625577880875008,405,140
668627278264475648,329,118
668631377374486528,744,336
668633411083464705,2919,1732
668636665813057536,1081,510
668641109086707712,1115,561
668643542311546881,918,556
668645506898350081,931,569
668655139528511488,547,229
668779399630725120,727,392
668815180734689280,589,285
668826086256599040,453,146
668852170888998912,468,174
668872652652679168,547,313
668892474547511297,411,160
668902994700836864,329,106
668932921458302977,278,60
668955713004314625,290,74
668960084974809088,732,249
668967877119254528,152,25
668975677807423489,1353,615
668979806671884288,820,372
668981893510119424,560,322
668986018524233728,570,176
668988183816871936,933,499
668989615043424256,701,343
668992363537309700,772,366
668994913074286592,456,246
669000397445533696,21560,6686
669006782128353280,595,262
669015743032369152,764,389
669037058363662336,679,326
669203728096960512,1043,501
669214165781868544,457,178
669216679721873412,1227,423
669324657376567296,511,215
669327207240699904,594,120
669328503091937280,1042,437
669351434509529089,455,197
669353438988365824,666,268
669354382627049472,2796,1336
669359674819481600,380,131
669363888236994561,647,242
669367896104181761,473,166
669371483794317312,513,189
669375718304980992,1379,763
669393256313184256,375,81
669564461267722241,398,130
669567591774625800,242,60
669571471778410496,1630,1058
669573570759163904,446,152
669583744538451968,1542,985
669597912108789760,527,159
669603084620980224,978,389
669625907762618368,3659,1902
669661792646373376,834,461
669680153564442624,691,302
669682095984410625,367,138
669683899023405056,406,116
669684865554620416,538,92
669749430875258880,281,68
669753178989142016,838,424
669923323644657664,242,60
669926384437997569,389,111
669942763794931712,526,176
669970042633789440,313,64
669972011175813120,459,169
669993076832759809,336,88
670003130994700288,343,97
670037189829525505,607,296
670040295598354432,777,117
670046952931721218,668,186
670055038660800512,692,348
670061506722140161,790,364
670069087419133954,654,256
670073503555706880,1621,833
670079681849372674,2304,1322
670086499208155136,723,263
670093938074779648,1071,355
670290420111441920,733,299
670303360680108032,440,142
670319130621435904,3985,1298
670338931251150849,443,118
670361874861563904,337,70
670374371102445568,765,283
670385711116361728,580,225
670403879788544000,447,165
670408998013820928,577,235
670411370698022913,2110,950
670417414769758208,586,340
670420569653809152,653,331
670421925039075328,1358,674
670427002554466305,537,173
670428280563085312,1438,669
670433248821026816,335,120
670434127938719744,1454,682
670435821946826752,1087,552
670442337873600512,673,206
670444955656130560,6931,2076
670449342516494336,1230,705
670452855871037440,566,219
670465786746662913,1006,584
670468609693655041,363,89
670474236058800128,1582,805
670668383499735048,11106,5313
670676092097810432,260,45
670679630144274432,775,305
670691627984359425,608,254
670704688707301377,787,390
670717338665226240,1255,521
670727704916926465,860,386
670733412878163972,993,533
670755717859713024,462,120
670764103623966721,1112,446
670778058496974848,340,76
670780561024270336,804,300
670782429121134593,1625,821
670783437142401025,845,417
670786190031921152,623,211
670789397210615808,685,252
670792680469889025,863,292
670797304698376195,754,248
670803562457407488,351,92
670804601705242624,2041,1001
670807719151067136,1187,518
670811965569282048,1167,283
670815497391357952,3284,1636
670822709593571328,630,101
670823764196741120,801,199
670826280409919488,5766,4287
670832455012716544,759,230
670833812859932673,461,129
670838202509447168,1151,733
670840546554966016,616,205
670842764863651840,25407,9236
670995969505435648,1143,305
671109016219725825,1183,460
671115716440031232,1402,810
671122204919246848,3619,2662
671134062904504320,771,204
671138694582165504,961,424
671141549288370177,1209,687
671147085991960577,694,241
671151324042559489,693,160
671154572044468225,744,228
671159727754231808,388,85
671163268581498880,1717,1167
671166507850801152,901,374
671182547775299584,1158,360
671186162933985280,761,226
671347597085433856,1002,456
671355857343524864,494,118
671357843010908160,414,155
671362598324076544,1155,309
671390180817915904,1465,775
671485057807351808,786,243
671486386088865792,604,215
671488513339211776,1046,493
671497587707535361,950,471
671504605491109889,7289,3722
671511350426865664,1670,765
671518598289059840,974,306
671520732782923777,1445,558
671528761649688577,868,272
671533943490011136,1061,607
671536543010570240,1218,429
671538301157904385,956,416
671542985629241344,1130,596
671544874165002241,2060,1104
671547767500775424,1399,630
671550332464455680,945,219
671561002136281088,13298,7638
671729906628341761,8830,4604
671735591348891648,1493,790
671743150407421952,761,239
671744970634719232,1392,812
671763349865160704,1745,973
671768281401958400,1232,551
671789708968640512,7305,3671
671855973984772097,948,478
671866342182637568,1164,525
671874878652489728,1291,582
671879137494245376,1472,726
671882082306625538,3585,1451
671891728106971137,1370,591
671896809300709376,8747,4367
672068090318987265,1341,541
672082170312290304,971,385
672095186491711488,1030,385
672125275208069120,2489,1204
672139350159835138,1807,761
672160042234327040,898,380
672169685991993344,1051,390
672205392827572224,2336,1215
672222792075620352,812,222
672231046314901505,1907,1060
672239279297454080,925,335
672245253877968896,708,163
672248013293752320,1785,636
672254177670729728,1477,778
672256522047614977,2915,1643
672264251789176834,1184,359
672267570918129665,1543,642
672272411274932228,6683,3573
672466075045466113,1404,569
672475084225949696,1486,737
672481316919734272,736,128
672482722825261057,1174,638
672488522314567680,1151,459
672523490734551040,668,180
672538107540070400,1061,391
672591271085670400,751,196
672591762242805761,980,349
672594978741354496,1369,636
672604026190569472,1150,428
672609152938721280,1150,409
672614745925664768,1267,618
672622327801233409,1336,520
672640509974827008,1007,340
672828477930868736,1297,512
672834301050937345,1361,604
672877615439593473,1064,390
672884426393653248,1607,875
672898206762672129,920,443
672902681409806336,1414,532
672964561327235073,1471,678
672968025906282496,1361,578
672970152493887488,989,375
672975131468300288,1745,969
672980819271634944,1871,1049
672984142909456390,1289,571
672988786805112832,1003,305
672995267319328768,987,314
672997845381865473,2030,759
673148804208660480,1764,664
673213039743795200,2338,895
673240798075449344,1466,768
673270968295534593,1098,392
673295268553605120,7787,3356
673317986296586240,897,280
673320132811366400,14009,8406
673342308415348736,1312,627
673343217010679808,1007,281
673345638550134785,2616,1362
673350198937153538,760,223
673352124999274496,1711,571
673355879178194945,1545,622
673359818736984064,1506,708
673363615379013632,1057,328
673576835670777856,1429,592
673580926094458881,858,281
673583129559498752,1232,391
673612854080196609,1647,769
673636718965334016,1162,394
673656262056419329,740,256
673662677122719744,1298,382
673680198160809984,1421,492
673686845050527744,1499,462
673688752737402881,1310,524
673689733134946305,1806,687
673697980713705472,3947,2080
673700254269775872,1488,604
673705679337693185,1302,419
673707060090052608,1139,416
673708611235921920,1111,307
673709992831262724,880,292
673711475735838725,1076,315
673715861853720576,3687,2223
673716320723169284,3196,812
673887867907739649,969,266
673906403526995968,3311,1730
673919437611909120,1209,387
